Open,High,Low,Close,Volume,int_range
83.44,83.47,80.22,81.38,19076691,2
81.1,82.43,79.62,81.43,21946099,1
82.28,82.49,78.12,79.85,29543350,4
78.99,80.5,78.45,78.76,18774534,7
77.15,78,75.64,75.85,24110942,20
75.83,78.75,75.77,78.3,17019622,17
78.9,79.14,77.47,78.13,12454285,16
78.25,78.31,76.15,77.69,16714660,20
78.06,79.15,77.403,77.87,15675521,19
78.44,80.785,78.4,79.95,20942281,20
80.45,82.19,79.97,81.31,18722550,16
80.85,81.11,79.27,80.86,15217186,20
80.91,82.675,80.82,81.71,16330912,12
80.57,81.41,79.275,81.38,12600139,18
81.5,84.47,81.38,84.08,97045933,11
83.77,84.39,83.5,84,26028623,10
84.27,85.82,84.25,85,36567131,6
85.05,85.1,82.1,82.59,23029237,14
82.58,85,82.42,84.85,15554984,0
84.8,85.1299,84.2,84.76,11875479,0
82.77,84.67,82.61,84.38,14667441,5
84.37,85.2,82.97,83.42,21919178,12
83.34,84.34,82.85,84.33,10474745,8
82.85,83.05,79.422,79.74,20793568,17
80.15,80.76,78.99,80.57,12055818,15
81.06,83.39,80.9,82.49,13054779,15
83.3,85.05,82.995,84.63,16575557,10
85,85.32,82.85,83.56,13003014,10
83.2,83.75,82.03,82.65,12168724,8
83.15,83.73,82.43,82.87,8094552,10
82.89,85.1,82.89,84.84,12778246,2
85.05,85.09,83.72,84.8,11238523,1
84.56,84.8,83.41,83.71,3775327,0
82.56,82.75,81.52,82.14,9319397,1
82.5,83.51,82.41,83.26,6942676,0
82.95,83.11,81.5,81.68,6984289,0
81.48,82.17,81.25,81.27,6744517,0
78.18,78.31,75.18,76.69,22997910,0
77.92,78.68,77.26,78.63,14258895,0
77.12,78.485,76.97,77.33,11569250,0
73.29,75.5,71.54,72.72,27288086,8
74.33,74.66,70.67,70.8,20814578,6
71.29,71.73,69.02,69.92,16961399,10
71.45,72.77,71,72.68,13456017,0
72.77,73.239,70.22,70.29,12450629,11
70.29,72.72,68.27,72.25,17701066,4
68.7,71,67.541,69.59,20625295,10
71.94,72.31,69.81,70.13,17344804,8
68.025,69.1124,65.34,68.71,19439322,12
68.78,71.65,67.1437,70.72,16550148,0
72.51,73.34,69.89,70.37,15785265,0
70.8,70.8,69.02,69.72,14756064,2
69.01,70.19,68.88,69.77,11441137,0
69.96,71.42,68.745,69.54,18058110,0
72.55,73.15,66.67,66.92,33075941,3
67.98,68.93,65.4,67.03,25546799,0
66.5,67.7,65.35,67.03,16166641,0
67.05,67.7399,64.66,65.09,19076239,0
65.6,65.73,60.87,63.44,31896336,4
64.33,65.72,63.1,64.86,22878118,0
64.71,64.86,62.18,62.64,12800452,4
60.9,62.05,60.45,61.1,16137058,10
60.11,62.22,59.25,61.39,12611268,10
61.9,63.09,60.87,61.78,8991938,10
60.25,61.63,59.85,60.57,14897530,10
61.27,62.78,60.28,60.89,13660233,10
64.42,66.89,64.04,66.29,21689664,12
67.17,67.39,65.68,66.38,14433208,12
67,68.5,66.23,66.52,14362398,10
66.8,67.75,66.09,67.28,12196173,8
68.3,69.53,67.98,68.84,13351361,9
68.5,68.66,66.465,66.97,12764921,10
66.17,67.69,65.21,67.23,10761752,10
65.67,66.72,64.66,66.66,14566841,10
68.09,68.83,66.86,66.91,12044630,10
67.64,70.58,67.56,68.81,17958525,10
70.02,71.84,69.86,70.86,13988748,10
72.04,72.04,70.75,71.25,10498157,13
71.31,72.59,70.46,71.02,11592728,12
70.96,72.96,70.72,72.22,10748752,14
72.2,73.98,72,72.89,11034493,11
72.4,72.65,70.96,71.07,8658130,13
71.59,72.61,70.68,72.43,7272170,12
72.5,73.05,70.605,71.97,11245719,16
72.58,74.01,72.22,74.01,11180378,16
74.01,74.4199,72.89,73.35,11057452,10
72.62,72.84,71.75,72.23,8373721,10
72.01,73.66,71.86,73.5,7671762,18
73.76,74.3701,73.51,74.25,9421519,14
74.97,76.3,74.71,76.25,13331424,10
77.09,79.6804,76.94,78.11,15459735,9
77,78.55,76.908,78.18,9118846,11
78.16,78.98,76.15,76.56,10792481,16
75.15,76.15,73.53,75.86,8826846,17
76.45,76.89,74.9,76.48,6070275,16
75.6,78.24,75.57,78.08,12480855,8
79.01,79.55,78.54,78.86,10674810,9
78.5,79.84,78.41,79.03,11307246,6
78.24,79.02,78.2,78.73,9248647,6
78.33,79.55,78.32,79.08,9795186,6
78.2,78.3,76.91,77.32,9576060,11
77.3,79.15,77.19,78.68,9054279,12
77.6,78.6,77.1825,77.61,10933504,15
78.27,78.76,76.621,77.47,8387713,13
78.07,78.589,77.43,77.71,7883830,13
78,78.24,76.87,77.86,7109400,14
78.74,79.72,78.5,79.64,14072654,13
79.31,79.858,78.36,79.61,12579459,12
79.45,79.75,78.46,78.97,11684572,12
78.52,79.12,77.71,79.01,7753931,9
79.2,80.48,78.47,79.46,14720399,7
79,81.735,78.99,81.21,14883474,1
81.08,81.78,80.2,80.78,8801471,0
80.12,81.44,79.155,79.89,8583784,2
79.8,79.84,78.68,78.84,9176328,4
78.85,79.56,77.8001,78.61,9561267,3
78.3,78.62,76.57,77.65,11441320,5
77.65,77.9,76.09,76.4,9897684,16
76.81,77.28,75.66,76.94,9985760,15
76.89,77,75.94,76.61,7701672,17
75.96,76.27,75.425,75.91,7985643,20
75.64,75.91,75.01,75.82,14260002,20
79.52,79.94,78.1,78.83,27890851,10
78.35,79.72,78.25,79.2,12618505,4
78.94,79.98,78.89,79.41,11774316,9
79.79,79.98,79.15,79.72,9295506,9
79.43,80.485,79.41,79.8,10967620,8
80.01,80.45,78.32,79.16,8764926,7
78.825,79.16,76.97,77.16,10045937,14
77.86,79.93,77.59,79.29,11629584,9
79.83,80.2,79.31,79.35,10957569,14
78.71,80,78.47,79.03,9055306,1
78.65,79.26,77.6,78.32,8303038,10
79.07,79.45,78.3501,78.79,10982573,15
78.95,79.5,78.6,79,7156483,17
79.17,81.31,79.07,81.12,16660273,0
78.53,79.2,74.12,75.59,49558730,14
76.99,78.865,76.8,78.35,26916442,5
78.49,81,78.39,80.97,24529547,2
81,82.03,80.2,82,78861383,0
79.15,80.14,76.55,76.69,62531511,12
76.65,77.75,76.56,77.3,45379470,10
77.24,77.8,75.71,76.62,23685736,8
77.11,78.33,76.7,78.06,19166096,3
78.19,78.37,77.32,77.84,12877981,9
78,78.53,77.375,77.64,11614055,11
77.39,78.07,76.78,77.56,8994449,11
76.43,77.05,75.76,75.92,10421059,12
75.25,76.455,74.85,75.45,11300757,17
76.89,78.45,76.75,77.77,22358857,12
78.31,78.7686,77.51,78.39,14734824,10
77.84,78.4,76.2,78.27,13570656,12
78.45,78.45,76.48,77,15582575,8
77.9,78.7899,77.84,78.15,9625641,0
78.75,79.08,78.4,78.62,8881825,4
79.04,79.12,78.21,78.73,8170856,8
79.16,79.46,78.55,79.14,8279464,10
76.83,77.5,75.43,76.29,18224791,18
75.8,76.29,73.3,74.23,15251773,10
75.5,76.6,75.5,76.28,11266195,16
76.98,78.48,76.9,78.04,11459983,13
78.31,79.76,78.28,79.53,12485338,8
79.12,80.05,79.12,79.65,7271279,14
79.04,79.55,78.37,78.97,6845232,17
78.47,78.82,77.68,78.64,7737637,14
79,79.4899,78.71,79.35,6819170,16
78.44,79.35,77.8,78.99,14029075,15
79.33,81.9,79.24,81.46,17417457,12
81.79,82.88,81.51,81.74,15294115,12
81.83,81.88,80.37,80.57,10739182,19
81.18,82.24,80.86,81.74,9361454,15
81.78,82.49,80.965,81.25,8919868,17
80.6,82.79,80.6,82.65,12113575,11
82.48,83.69,82.05,82.77,9799375,11
83.27,84.7,83.23,84.42,13990957,6
84.71,85,83.66,84.18,10192080,7
84,84.5,83.81,84.49,5988370,5
84.47,84.79,82.61,83.19,13185912,12
82.86,83.63,82.63,83.59,7714661,10
83.6,83.64,83,83.1,11628979,11
83.46,83.49,82.1201,83.12,7476531,13
83.37,83.42,81.945,82.48,8709279,15
82.79,84.8,82.59,84.34,13401193,11
84.34,84.34,82.91,83.8,7691627,13
83.3,83.84,83.17,83.67,5365813,18
83.75,84.98,83.69,84.75,10731563,10
85.01,85.08,84.44,84.59,9401657,10
84.99,85.02,84.3,85,11528244,10
85.05,85.63,84.8,85.24,15349237,10
86.01,87.73,86.01,87.33,28195881,10
92.14,92.8,91.26,91.77,54169169,10
92.98,98.35,92.91,98.25,71968347,7
98.28,98.86,96.82,97.17,33813431,6
96.15,97.15,95.05,96.66,27513961,8
96.17,97.25,96.05,97,14980944,3
97.25,97.94,96.62,97,15009049,3
96.91,97.24,96.34,96.86,14267089,6
96.47,96.63,94.75,95.65,16222875,8
95.59,96.48,95.41,95.79,9646830,10
95.68,96.3,93.56,93.88,12726565,17
93.75,94.69,93.12,93.94,13039874,17
94.15,95.45,94.08,95.06,14133920,18
94.6,95.16,94.21,94.88,8818346,10
95.35,96.68,95.17,96,13994246,10
96.14,97.2,96.01,97.19,28617010,10
97.3,98,97.01,97.42,13387366,14
97.97,99.665,97.97,99.25,17482617,13
100.45,104.3,100.45,103.78,32803767,3
